No,Name,Shop,Price,Count,Comment,Url
0,HTC Sensation/Pyramid HTC G14 金字塔 z710e 正品行货 预售,能良数码专营店,6000.00,1,,http://item.tmall.com/item.htm?id=10767712011&prc=1&source=dou&cm_cat=1512
1,【商城夏季大促】 夏季新品 细条纹海魂衫纯棉圆领短袖T恤,AK旗舰店,119.00,1,30 size,http://item.tmall.com/item.htm?id=9778723481&prc=1
2,【商城夏季大促】休闲7扣纯色绣标短袖T恤条纹POLO衫 POLO短,AK旗舰店,99.00,2,red,http://item.tmall.com/item.htm?id=5203402775&prc=1
